year,org_short,utility_parent_company,utility_entity_matched,contributor_name,amount_usd,contribution_date,match_type
2022,DLCC,American Gas Association,American Gas Association,AMERICAN GAS ASSOCIATION,250,2022-09-22,entity_exact
2022,DLCC,Edison Electric Institute,Edison Electric Institute,EDISON ELECTRIC INSTITUTE,250,2022-04-26,entity_exact
2022,DLCC,Edison Electric Institute,Edison Electric Institute,EDISON ELECTRIC INSTITUTE,250,2022-12-12,entity_exact
2021,DGA,PG&E Corp,PG&E Corporation,PG E CORPORATION,250000,2021-07-16,entity_exact
2021,RSLC,Dominion Energy,Dominion Energy Services,"DOMINION ENERGY SERVICES, INC.",250000,2021-10-07,entity_simplified
2021,DGA,Dominion Energy,Dominion Energy Services,DOMINION ENERGY SERVICES INC,225000,2021-07-23,entity_simplified
2021,DGA,Duke Energy,Duke Energy,DUKE ENERGY CORPORATION,200000,2021-12-21,entity_simplified
2021,DGA,Southern Company,Southern Company Services,"SOUTHERN COMPANY SERVICES, INC.",150000,2021-12-06,entity_simplified
2021,GOPAC,Duke Energy,Duke Energy,DUKE ENERGY,150000,2021-12-22,entity_exact
2021,RGA,Southern Company,Southern Company Services,SOUTHERN COMPANY SERVICES INC.,150000,2021-11-30,entity_simplified
2021,RSLC,Duke Energy,Duke Energy Business Services,DUKE ENERGY BUSINESS SERVICES LLC,150000,2021-12-21,entity_simplified
2021,DAGA,Dominion Energy,Dominion Energy,DOMINION ENERGY,125000,2021-05-19,entity_exact
2021,DLCC,Dominion Energy,Dominion Energy,DOMINION ENERGY,125000,2021-08-04,entity_exact
2021,DLCC,Dominion Energy,Dominion Energy,DOMINION ENERGY,125000,2021-09-22,entity_exact
2021,DLCC,Dominion Energy,Dominion Energy,DOMINION ENERGY,125000,2021-10-06,entity_exact
2021,RSLC,Alliant Energy,Alliant Energy,ALLIANT ENERGY CORPORATION SERVICES INC,125000,2021-10-21,entity_simplified
2021,RSLC,Dominion Energy,Dominion Energy Services,"DOMINION ENERGY SERVICES, INC.",125000,2021-06-01,entity_simplified
2021,DGA,Calpine,Calpine,CALPINE CORPORATION,100000,2021-08-27,entity_word_boundary
2021,DGA,Edison Electric Institute,Edison Electric Institute,EDISON ELECTRIC INSTITUTE,100000,2021-04-06,entity_exact
2021,DGA,Exelon,Exelon Business Services,EXELON BUSINESS SERVICES,100000,2021-01-04,entity_exact
2021,DGA,Public Service Enterprise Group,PSEG,PSEG SERVICES,100000,2021-10-12,entity_word_boundary
2021,DGA,Vistra Energy,Vistra Corporate Services,VISTRA CORPORATE SERVICES CO,100000,2021-02-16,entity_simplified
2021,DGA,Xcel Energy,Xcel Energy,XCEL ENERGY,100000,2021-04-27,entity_exact
2021,DLCC,Duke Energy,Duke Energy,DUKE ENERGY CORPORATION,100000,2021-12-28,entity_simplified
2021,DLCC,PG&E Corp,Pacific Gas & Electric,PACIFIC GAS   ELECTRIC CORPORATION,100000,2021-10-04,entity_simplified
2021,RGA,Dominion Energy,Dominion Energy Services,DOMINION ENERGY SERVICES INC.,100000,2021-07-09,entity_simplified
2021,RGA,Dominion Energy,Dominion Energy Services,DOMINION ENERGY SERVICES INC.,100000,2021-10-06,entity_simplified
2021,RGA,Edison Electric Institute,Edison Electric Institute,EDISON ELECTRIC INSTITUTE,100000,2021-07-21,entity_exact
2021,RGA,Southern Company,Southern Company Services,SOUTHERN COMPANY SERVICES INC,100000,2021-02-22,entity_simplified
2021,RGA,Vistra Energy,Vistra Corporate Services,VISTRA CORPORATE SERVICES COMPANY,100000,2021-03-15,entity_simplified
2021,RGA,Xcel Energy,Xcel Energy,XCEL ENERGY CORPORATION,100000,2021-03-09,entity_simplified
2021,DAGA,Dominion Energy,Dominion Energy,DOMINION ENERGY,75000,2021-06-01,entity_exact
2021,DGA,American Electric Power,American Electric Power,AMERICAN ELECTRIC POWER,75000,2021-12-16,entity_exact
2021,DGA,Nuclear Energy Institute,Nuclear Energy Institute,NUCLEAR ENERGY INSTITUTE,75000,2021-02-16,entity_exact
2021,RAGA,Southern Company,Southern Company Services,"SOUTHERN COMPANY SERVICES, INC.",75000,2021-12-07,entity_simplified
2021,RSLC,Dominion Energy,Dominion Energy Services,"DOMINION ENERGY SERVICES, INC.",75000,2021-10-25,entity_simplified
2021,RGA,Berkshire Hathaway Energy,MidAmerican Energy,MIDAMERICAN ENERGY COMPANY,70000,2021-07-13,entity_simplified
2021,DAGA,Alliant Energy,Alliant Energy,ALLIANT ENERGY,50000,2021-11-02,entity_exact
2021,DAGA,Dominion Energy,Dominion Energy,DOMINION ENERGY,50000,2021-09-16,entity_exact
2021,DAGA,NRG Energy,NRG Energy,"NRG ENERGY, INC.",50000,2021-12-07,entity_simplified
2021,DGA,Essential Utilities,Essential Utilities PAC,"ESSENTIAL UTILITIES, INC.",50000,2021-10-20,entity_simplified
2021,DGA,NextEra,NextEra,NEXTERA ENERGY RESOURCES,50000,2021-05-27,entity_word_boundary
2021,DGA,NRG Energy,NRG Energy,NRG ENERGY INC.,50000,2021-07-20,entity_simplified
2021,DGA,Southern Company,Southern Company Services,"SOUTHERN COMPANY SERVICES, INC.",50000,2021-01-04,entity_simplified
2021,DLCC,Nuclear Energy Institute,Nuclear Energy Institute,NUCLEAR ENERGY INSTITUTE,50000,2021-02-08,entity_exact
2021,DLCC,Public Service Enterprise Group,PSEG,PSEG SERVICES,50000,2021-11-09,entity_word_boundary
2021,GOPAC,NextEra,NextEra,NEXTERA ENERGY RESOURCES LLC,50000,2021-01-04,entity_word_boundary
2021,GOPAC,Xcel Energy,Xcel Energy,XCEL ENERGY,50000,2021-06-14,entity_exact
2021,RGA,Berkshire Hathaway Energy,Berkshire Hathaway Energy,BERKSHIRE HATHAWAY ENERGY,50000,2021-07-13,entity_exact
2021,RGA,Dominion Energy,Dominion Energy Services,DOMINION ENERGY SERVICES INC.,50000,2021-10-12,entity_simplified
2021,RGA,Duke Energy,Duke Energy Business Services,DUKE ENERGY BUSINESS SERVICES LLC,50000,2021-06-11,entity_simplified
2021,RGA,Duke Energy,Duke Energy Business Services,DUKE ENERGY BUSINESS SERVICES LLC,50000,2021-12-15,entity_simplified
2021,RGA,Fortis,ITC Holdings,ITC HOLDINGS CORPORATION,50000,2021-10-19,entity_simplified
2021,RGA,NRG Energy,NRG Energy,"NRG ENERGY, INC.",50000,2021-11-19,entity_simplified
2021,RGA,NRG Energy,NRG Energy,"NRG ENERGY, INC.",50000,2021-11-19,entity_simplified
2021,RGA,Nuclear Energy Institute,Nuclear Energy Institute,NUCLEAR ENERGY INSTITUTE,50000,2021-06-21,entity_exact
2021,RGA,ONE Gas,ONE Gas,ONEOK,50000,2021-03-26,entity_word_boundary
2021,RGA,Pinnacle West Capital,Pinnacle West,PINNACLE WEST CAPITAL CORPORATION,50000,2021-11-29,entity_simplified
2021,RGA,Pinnacle West Capital,Pinnacle West,PINNACLE WEST CAPITAL CORPORATION,50000,2021-12-21,entity_simplified
2021,RGA,Public Service Enterprise Group,PSEG Services Corp,PSEG SERVICES CORP.,50000,2021-10-12,entity_simplified
2021,RGA,Spire,Spire Missouri,SPIRE MISSOURI INC,50000,2021-06-02,entity_word_boundary
2021,RSLC,Dominion Energy,Dominion Energy Services,"DOMINION ENERGY SERVICES, INC.",50000,2021-07-27,entity_simplified
